NAME,COUNTYFP,GRID_ID,YEAR,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,AGEUNDER13_TOT,AGE1424_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT,COUNTY_AREA,POPDENSITY,POPDENSITY_MALE,POPDENSITY_FEM,Structure Arsons,Mobile Arsons,Other Arsons,Total Arsons,Total Arsons Cleared,Unemployment,medianHHI2018
Mendocino,45,8,2015,42.9,41.3,44.5,0.870304229030555,0.6476572291817951,1.1944886992418822,1.4235411002583742,1.0302613304136414,16860770648.380726,5.166252588126248,2.5687437960707626,2.597508792055485,10,7,5,22,8,0.058,51386
Mendocino,45,8,2016,43.1,41.5,44.7,0.8676353118773333,0.6388201479411277,1.1962086680739585,1.406519339747827,1.0676261705587449,16860770648.380726,5.176809638198992,2.5692182702313358,2.6075913679676557,4,1,3,8,4,0.053,51386
Mendocino,45,8,2017,43.2,41.8,44.7,0.8673387655269754,0.6289154998391717,1.2088415425992076,1.3803639516462545,1.1086088761782156,16860770648.380726,5.194068635789825,2.5739037025669913,2.6201649332228336,12,2,12,26,9,0.045,51386
Mendocino,45,8,2018,43.5,42.0,44.9,0.8595692511475969,0.6210866761897215,1.2040374917234087,1.3494045126688832,1.1495915817976863,16860770648.380726,5.1836895135272965,2.56939619804155,2.614293315485746,22,8,19,49,12,0.04,51386
Mendocino,45,8,2019,43.8,42.4,45.2,0.8438522945786247,0.6057255752411789,1.1958528124535288,1.3119210539836361,1.187668133183649,16860770648.380726,5.145019869440618,2.5515441077500007,2.5934757616906166,20,8,16,44,10,0.04,51386
Mendocino,45,8,1990,41.5,40.0,43.3,0.8849536187382385,0.6857337805677578,1.2438340119414475,1.5950042000353495,0.8002599810760038,16860770648.380726,5.209785592358797,2.6085996255588735,2.6011859667999238,14,4,2,20,8,0.114,51386
Mendocino,45,8,1991,41.5,40.0,43.3,0.8849536187382385,0.6857337805677578,1.2438340119414475,1.5950042000353495,0.8002599810760038,16860770648.380726,5.209785592358797,2.6085996255588735,2.6011859667999238,12,10,5,27,9,0.114,51386
Mendocino,45,8,1992,41.5,40.0,43.3,0.8849536187382385,0.6857337805677578,1.2438340119414475,1.5950042000353495,0.8002599810760038,16860770648.380726,5.209785592358797,2.6085996255588735,2.6011859667999238,22,6,7,35,5,0.114,51386
Mendocino,45,8,1993,41.5,40.0,43.3,0.8849536187382385,0.6857337805677578,1.2438340119414475,1.5950042000353495,0.8002599810760038,16860770648.380726,5.209785592358797,2.6085996255588735,2.6011859667999238,16,7,10,33,6,0.114,51386
Mendocino,45,8,1994,41.5,40.0,43.3,0.8849536187382385,0.6857337805677578,1.2438340119414475,1.5950042000353495,0.8002599810760038,16860770648.380726,5.209785592358797,2.6085996255588735,2.6011859667999238,23,7,10,40,9,0.114,51386
