ID,YEAR,MONTH,DAY,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT08,WT11,WT16,WT18
USC00045598,1943,1,15,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,16,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,17,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,18,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,19,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,2,,,,,8.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,20,,,,,307.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1943,1,21,,,,,1524.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1943,1,22,,,,,866.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1943,1,23,,,,,706.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,24,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,25,,,,,33.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1943,1,26,,,,,168.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1943,1,27,,,,,89.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,28,,,,,74.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1943,1,29,,,,,109.0,,,,,,-9999.0,,,,,1.0,
USC00045598,1943,1,3,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,30,,,,,254.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,31,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,4,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,5,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
USC00045598,1943,1,6,,,,,0.0,,,,,,-9999.0,,,,,-9999.0,
